TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
R2510,0400001US26,Michigan -- Urban,87,"196,800","+/-1,751"
R2510,0400001US27,Minnesota -- Urban,87,"290,900","+/-1,873"
R2510,0400001US28,Mississippi -- Urban,87,"158,100","+/-3,146"
R2510,0400001US29,Missouri -- Urban,87,"201,600","+/-2,745"
R2510,0400001US30,Montana -- Urban,87,"288,600","+/-8,026"
R2510,0400001US31,Nebraska -- Urban,87,"205,300","+/-3,423"
R2510,0400001US32,Nevada -- Urban,87,"370,800","+/-2,915"
R2510,0400001US33,New Hampshire -- Urban,87,"352,400","+/-5,225"
R2510,0400001US34,New Jersey -- Urban,87,"390,500","+/-2,665"
R2510,0400001US35,New Mexico -- Urban,87,"217,600","+/-4,707"
R2510,0400001US36,New York -- Urban,87,"433,000","+/-3,298"
R2510,0400001US37,North Carolina -- Urban,87,"260,000","+/-2,532"
R2510,0400001US38,North Dakota -- Urban,87,"234,800","+/-4,881"
R2510,0400001US39,Ohio -- Urban,87,"174,300","+/-1,105"
R2510,0400001US40,Oklahoma -- Urban,87,"168,000","+/-1,733"
R2510,0400001US41,Oregon -- Urban,87,"416,800","+/-3,445"
R2510,0400001US42,Pennsylvania -- Urban,87,"226,400","+/-1,676"
R2510,0400001US44,Rhode Island -- Urban,87,"340,000","+/-5,272"
R2510,0400001US45,South Carolina -- Urban,87,"228,800","+/-2,625"
R2510,0400001US46,South Dakota -- Urban,87,"222,100","+/-6,325"
R2510,0400001US47,Tennessee -- Urban,87,"247,600","+/-2,836"
R2510,0400001US48,Texas -- Urban,87,"234,300","+/-1,327"
R2510,0400001US49,Utah -- Urban,87,"419,000","+/-4,307"
R2510,0400001US50,Vermont -- Urban,87,"269,400","+/-15,092"
R2510,0400001US51,Virginia -- Urban,87,"358,600","+/-3,194"
R2510,0400001US53,Washington -- Urban,87,"492,700","+/-3,321"
R2510,0400001US54,West Virginia -- Urban,87,"144,500","+/-4,780"
R2510,0400001US55,Wisconsin -- Urban,87,"222,800","+/-2,004"
R2510,0400001US56,Wyoming -- Urban,87,"232,300","+/-6,990"
R2510,0400001US72,Puerto Rico -- Urban,87,"115,600","+/-1,296"
R2510,0400043US01,Alabama -- Rural,87,"163,700","+/-2,653"
R2510,0400043US02,Alaska -- Rural,87,"280,300","+/-9,851"
R2510,0400043US04,Arizona -- Rural,87,"322,600","+/-8,315"
R2510,0400043US05,Arkansas -- Rural,87,"156,600","+/-2,716"
R2510,0400043US06,California -- Rural,87,"537,700","+/-10,988"
R2510,0400043US08,Colorado -- Rural,87,"527,600","+/-11,134"
R2510,0400043US09,Connecticut -- Rural,87,"356,600","+/-6,839"
R2510,0400043US10,Delaware -- Rural,87,"334,000","+/-12,864"
R2510,0400043US12,Florida -- Rural,87,"290,800","+/-5,307"
R2510,0400043US13,Georgia -- Rural,87,"204,900","+/-4,311"
R2510,0400043US15,Hawaii -- Rural,87,"565,500","+/-68,916"
R2510,0400043US16,Idaho -- Rural,87,"391,700","+/-11,692"
R2510,0400043US17,Illinois -- Rural,87,"163,200","+/-2,633"
R2510,0400043US18,Indiana -- Rural,87,"197,100","+/-4,145"
R2510,0400043US19,Iowa -- Rural,87,"181,000","+/-3,835"
R2510,0400043US20,Kansas -- Rural,87,"167,400","+/-3,311"
R2510,0400043US21,Kentucky -- Rural,87,"148,900","+/-4,261"
R2510,0400043US22,Louisiana -- Rural,87,"169,200","+/-4,914"
R2510,0400043US23,Maine -- Rural,87,"241,400","+/-5,133"
R2510,0400043US24,Maryland -- Rural,87,"392,200","+/-6,512"
R2510,0400043US25,Massachusetts -- Rural,87,"443,200","+/-9,367"
R2510,0400043US26,Michigan -- Rural,87,"205,100","+/-2,631"
R2510,0400043US27,Minnesota -- Rural,87,"268,600","+/-3,136"
R2510,0400043US28,Mississippi -- Rural,87,"132,300","+/-5,391"
R2510,0400043US29,Missouri -- Rural,87,"190,100","+/-4,783"
R2510,0400043US30,Montana -- Rural,87,"373,200","+/-10,038"
R2510,0400043US31,Nebraska -- Rural,87,"203,600","+/-6,338"
R2510,0400043US32,Nevada -- Rural,87,"405,800","+/-22,046"
R2510,0400043US33,New Hampshire -- Rural,87,"335,300","+/-5,938"
R2510,0400043US34,New Jersey -- Rural,87,"379,800","+/-8,998"
R2510,0400043US35,New Mexico -- Rural,87,"198,500","+/-9,807"
R2510,0400043US36,New York -- Rural,87,"194,300","+/-3,193"
R2510,0400043US37,North Carolina -- Rural,87,"197,900","+/-3,537"
R2510,0400043US38,North Dakota -- Rural,87,"203,200","+/-9,767"
R2510,0400043US39,Ohio -- Rural,87,"198,100","+/-2,490"
R2510,0400043US40,Oklahoma -- Rural,87,"169,600","+/-2,212"
R2510,0400043US41,Oregon -- Rural,87,"447,900","+/-10,067"
R2510,0400043US42,Pennsylvania -- Rural,87,"209,100","+/-2,667"
R2510,0400043US44,Rhode Island -- Rural,87,"406,400","+/-20,269"
R2510,0400043US45,South Carolina -- Rural,87,"175,900","+/-4,222"
R2510,0400043US46,South Dakota -- Rural,87,"215,800","+/-9,368"
R2510,0400043US47,Tennessee -- Rural,87,"211,900","+/-4,018"
R2510,0400043US48,Texas -- Rural,87,"250,000","+/-4,324"
R2510,0400043US49,Utah -- Rural,87,"441,900","+/-14,569"
R2510,0400043US50,Vermont -- Rural,87,"272,300","+/-5,304"
R2510,0400043US51,Virginia -- Rural,87,"263,300","+/-4,155"
R2510,0400043US53,Washington -- Rural,87,"454,700","+/-7,610"
R2510,0400043US54,West Virginia -- Rural,87,"141,700","+/-5,941"
R2510,0400043US55,Wisconsin -- Rural,87,"246,300","+/-2,281"
R2510,0400043US56,Wyoming -- Rural,87,"353,300","+/-13,650"
R2510,0400043US72,Puerto Rico -- Rural,87,"87,500","+/-3,375"
R2510,04000A0US01,Alabama -- In metropolitan or micropolitan statistical area,87,"179,300","+/-3,000"
R2510,04000A0US02,Alaska -- In metropolitan or micropolitan statistical area,87,"320,200","+/-7,849"
R2510,04000A0US04,Arizona -- In metropolitan or micropolitan statistical area,87,"338,600","+/-2,427"
R2510,04000A0US05,Arkansas -- In metropolitan or micropolitan statistical area,87,"170,600","+/-2,279"
R2510,04000A0US06,California -- In metropolitan or micropolitan statistical area,87,"651,700","+/-2,039"
R2510,04000A0US08,Colorado -- In metropolitan or micropolitan statistical area,87,"474,100","+/-2,410"
R2510,04000A0US09,Connecticut -- In metropolitan or micropolitan statistical area,87,"311,500","+/-3,506"
R2510,04000A0US10,Delaware -- In metropolitan or micropolitan statistical area,87,"300,500","+/-6,189"
R2510,04000A0US11,District of Columbia -- In metropolitan or micropolitan statistical area,87,"669,900","+/-18,113"
R2510,04000A0US12,Florida -- In metropolitan or micropolitan statistical area,87,"292,600","+/-1,430"
R2510,04000A0US13,Georgia -- In metropolitan or micropolitan statistical area,87,"257,800","+/-2,516"
R2510,04000A0US15,Hawaii -- In metropolitan or micropolitan statistical area,87,"722,500","+/-13,667"
R2510,04000A0US16,Idaho -- In metropolitan or micropolitan statistical area,87,"377,200","+/-5,515"
R2510,04000A0US17,Illinois -- In metropolitan or micropolitan statistical area,87,"240,200","+/-1,676"
R2510,04000A0US18,Indiana -- In metropolitan or micropolitan statistical area,87,"185,300","+/-2,060"
R2510,04000A0US19,Iowa -- In metropolitan or micropolitan statistical area,87,"189,500","+/-2,785"
R2510,04000A0US20,Kansas -- In metropolitan or micropolitan statistical area,87,"200,900","+/-3,471"
R2510,04000A0US21,Kentucky -- In metropolitan or micropolitan statistical area,87,"191,400","+/-2,525"
R2510,04000A0US22,Louisiana -- In metropolitan or micropolitan statistical area,87,"198,000","+/-3,007"
R2510,04000A0US23,Maine -- In metropolitan or micropolitan statistical area,87,"284,200","+/-5,955"
R2510,04000A0US24,Maryland -- In metropolitan or micropolitan statistical area,87,"372,600","+/-2,534"
R2510,04000A0US25,Massachusetts -- In metropolitan or micropolitan statistical area,87,"480,000","+/-3,026"
R2510,04000A0US26,Michigan -- In metropolitan or micropolitan statistical area,87,"205,200","+/-1,633"
R2510,04000A0US27,Minnesota -- In metropolitan or micropolitan statistical area,87,"295,700","+/-1,677"
R2510,04000A0US28,Mississippi -- In metropolitan or micropolitan statistical area,87,"158,000","+/-2,797"
R2510,04000A0US29,Missouri -- In metropolitan or micropolitan statistical area,87,"207,800","+/-2,498"
R2510,04000A0US30,Montana -- In metropolitan or micropolitan statistical area,87,"353,400","+/-7,653"
R2510,04000A0US31,Nebraska -- In metropolitan or micropolitan statistical area,87,"219,500","+/-2,960"
R2510,04000A0US32,Nevada -- In metropolitan or micropolitan statistical area,87,"374,800","+/-2,855"
R2510,04000A0US33,New Hampshire -- In metropolitan or micropolitan statistical area,87,"345,900","+/-4,092"
R2510,04000A0US34,New Jersey -- In metropolitan or micropolitan statistical area,87,"389,800","+/-2,392"
R2510,04000A0US35,New Mexico -- In metropolitan or micropolitan statistical area,87,"217,600","+/-4,072"
R2510,04000A0US36,New York -- In metropolitan or micropolitan statistical area,87,"379,200","+/-2,914"
R2510,04000A0US37,North Carolina -- In metropolitan or micropolitan statistical area,87,"243,100","+/-2,174"
R2510,04000A0US38,North Dakota -- In metropolitan or micropolitan statistical area,87,"243,100","+/-5,761"
R2510,04000A0US39,Ohio -- In metropolitan or micropolitan statistical area,87,"182,400","+/-1,332"
R2510,04000A0US40,Oklahoma -- In metropolitan or micropolitan statistical area,87,"174,900","+/-1,977"
R2510,04000A0US41,Oregon -- In metropolitan or micropolitan statistical area,87,"425,700","+/-3,421"
R2510,04000A0US42,Pennsylvania -- In metropolitan or micropolitan statistical area,87,"224,500","+/-1,479"
R2510,04000A0US44,Rhode Island -- In metropolitan or micropolitan statistical area,87,"348,100","+/-5,126"
R2510,04000A0US45,South Carolina -- In metropolitan or micropolitan statistical area,87,"220,100","+/-2,110"
R2510,04000A0US46,South Dakota -- In metropolitan or micropolitan statistical area,87,"235,400","+/-5,412"
R2510,04000A0US47,Tennessee -- In metropolitan or micropolitan statistical area,87,"245,700","+/-2,481"
R2510,04000A0US48,Texas -- In metropolitan or micropolitan statistical area,87,"242,500","+/-1,433"
R2510,04000A0US49,Utah -- In metropolitan or micropolitan statistical area,87,"430,500","+/-3,972"
R2510,04000A0US50,Vermont -- In metropolitan or micropolitan statistical area,87,"287,900","+/-6,560"
R2510,04000A0US51,Virginia -- In metropolitan or micropolitan statistical area,87,"351,400","+/-2,725"
R2510,04000A0US53,Washington -- In metropolitan or micropolitan statistical area,87,"490,400","+/-2,951"
R2510,04000A0US54,West Virginia -- In metropolitan or micropolitan statistical area,87,"150,600","+/-3,486"
R2510,04000A0US55,Wisconsin -- In metropolitan or micropolitan statistical area,87,"238,500","+/-1,642"
R2510,04000A0US56,Wyoming -- In metropolitan or micropolitan statistical area,87,"267,600","+/-7,202"
R2510,04000A0US72,Puerto Rico -- In metropolitan or micropolitan statistical area,87,"114,000","+/-1,225"
R2510,04000C0US01,Alabama -- In metropolitan statistical area,87,"190,500","+/-3,352"
R2510,04000C0US02,Alaska -- In metropolitan statistical area,87,"317,000","+/-8,578"
R2510,04000C0US04,Arizona -- In metropolitan statistical area,87,"343,400","+/-2,450"
R2510,04000C0US05,Arkansas -- In metropolitan statistical area,87,"185,200","+/-3,574"
R2510,04000C0US06,California -- In metropolitan statistical area,87,"657,700","+/-2,036"
R2510,04000C0US08,Colorado -- In metropolitan statistical area,87,"477,000","+/-2,483"
R2510,04000C0US09,Connecticut -- In metropolitan statistical area,87,"312,300","+/-3,680"
R2510,04000C0US10,Delaware -- In metropolitan statistical area,87,"300,500","+/-6,189"
R2510,04000C0US11,District of Columbia -- In metropolitan statistical area,87,"669,900","+/-18,113"
R2510,04000C0US12,Florida -- In metropolitan statistical area,87,"293,900","+/-1,464"
R2510,04000C0US13,Georgia -- In metropolitan statistical area,87,"269,500","+/-2,419"
R2510,04000C0US15,Hawaii -- In metropolitan statistical area,87,"775,600","+/-14,289"
R2510,04000C0US16,Idaho -- In metropolitan statistical area,87,"387,100","+/-5,898"
R2510,04000C0US17,Illinois -- In metropolitan statistical area,87,"251,100","+/-1,990"
R2510,04000C0US18,Indiana -- In metropolitan statistical area,87,"195,300","+/-2,109"
R2510,04000C0US19,Iowa -- In metropolitan statistical area,87,"205,300","+/-3,121"
R2510,04000C0US20,Kansas -- In metropolitan statistical area,87,"223,400","+/-3,696"
R2510,04000C0US21,Kentucky -- In metropolitan statistical area,87,"210,000","+/-3,029"
R2510,04000C0US22,Louisiana -- In metropolitan statistical area,87,"204,100","+/-3,067"
R2510,04000C0US23,Maine -- In metropolitan statistical area,87,"303,000","+/-7,327"
R2510,04000C0US24,Maryland -- In metropolitan statistical area,87,"373,700","+/-2,555"
R2510,04000C0US25,Massachusetts -- In metropolitan statistical area,87,"479,300","+/-3,050"
R2510,04000C0US26,Michigan -- In metropolitan statistical area,87,"210,200","+/-1,633"
R2510,04000C0US27,Minnesota -- In metropolitan statistical area,87,"309,900","+/-2,297"
R2510,04000C0US28,Mississippi -- In metropolitan statistical area,87,"177,600","+/-4,561"
R2510,04000C0US29,Missouri -- In metropolitan statistical area,87,"217,200","+/-2,332"
R2510,04000C0US30,Montana -- In metropolitan statistical area,87,"312,100","+/-11,430"
R2510,04000C0US31,Nebraska -- In metropolitan statistical area,87,"231,800","+/-3,587"
R2510,04000C0US32,Nevada -- In metropolitan statistical area,87,"380,900","+/-2,968"
R2510,04000C0US33,New Hampshire -- In metropolitan statistical area,87,"377,300","+/-4,828"
R2510,04000C0US34,New Jersey -- In metropolitan statistical area,87,"389,800","+/-2,392"
R2510,04000C0US35,New Mexico -- In metropolitan statistical area,87,"240,700","+/-4,378"
R2510,04000C0US36,New York -- In metropolitan statistical area,87,"408,800","+/-3,121"
R2510,04000C0US37,North Carolina -- In metropolitan statistical area,87,"254,900","+/-2,538"
R2510,04000C0US38,North Dakota -- In metropolitan statistical area,87,"252,700","+/-9,046"
R2510,04000C0US39,Ohio -- In metropolitan statistical area,87,"191,500","+/-1,452"
R2510,04000C0US40,Oklahoma -- In metropolitan statistical area,87,"185,400","+/-2,398"
R2510,04000C0US41,Oregon -- In metropolitan statistical area,87,"446,800","+/-3,504"
R2510,04000C0US42,Pennsylvania -- In metropolitan statistical area,87,"234,700","+/-1,522"
R2510,04000C0US44,Rhode Island -- In metropolitan statistical area,87,"348,100","+/-5,126"
R2510,04000C0US45,South Carolina -- In metropolitan statistical area,87,"227,800","+/-2,358"
R2510,04000C0US46,South Dakota -- In metropolitan statistical area,87,"252,300","+/-8,229"
R2510,04000C0US47,Tennessee -- In metropolitan statistical area,87,"260,000","+/-2,852"
R2510,04000C0US48,Texas -- In metropolitan statistical area,87,"248,600","+/-1,469"
R2510,04000C0US49,Utah -- In metropolitan statistical area,87,"432,000","+/-3,836"
R2510,04000C0US50,Vermont -- In metropolitan statistical area,87,"347,900","+/-10,777"
R2510,04000C0US51,Virginia -- In metropolitan statistical area,87,"360,900","+/-2,692"
R2510,04000C0US53,Washington -- In metropolitan statistical area,87,"508,800","+/-4,434"
R2510,04000C0US54,West Virginia -- In metropolitan statistical area,87,"157,900","+/-3,194"
R2510,04000C0US55,Wisconsin -- In metropolitan statistical area,87,"248,300","+/-1,839"
R2510,04000C0US56,Wyoming -- In metropolitan statistical area,87,"277,200","+/-9,782"
R2510,04000C0US72,Puerto Rico -- In metropolitan statistical area,87,"114,700","+/-1,278"
R2510,04000C1US01,Alabama -- In metropolitan statistical area -- in principal city,87,"193,200","+/-5,331"
R2510,04000C1US02,Alaska -- In metropolitan statistical area -- in principal city,87,"339,300","+/-9,812"
R2510,04000C1US04,Arizona -- In metropolitan statistical area -- in principal city,87,"350,300","+/-3,852"
R2510,04000C1US05,Arkansas -- In metropolitan statistical area -- in principal city,87,"200,000","+/-5,943"
R2510,04000C1US06,California -- In metropolitan statistical area -- in principal city,87,"721,400","+/-3,925"
R2510,04000C1US08,Colorado -- In metropolitan statistical area -- in principal city,87,"449,500","+/-3,889"
R2510,04000C1US09,Connecticut -- In metropolitan statistical area -- in principal city,87,"297,100","+/-8,442"
R2510,04000C1US10,Delaware -- In metropolitan statistical area -- in principal city,87,"213,200","+/-19,000"
R2510,04000C1US11,District of Columbia -- In metropolitan statistical area -- in principal city,87,"669,900","+/-18,113"
R2510,04000C1US12,Florida -- In metropolitan statistical area -- in principal city,87,"285,700","+/-2,901"
R2510,04000C1US13,Georgia -- In metropolitan statistical area -- in principal city,87,"239,200","+/-5,945"
R2510,04000C1US15,Hawaii -- In metropolitan statistical area -- in principal city,87,"720,700","+/-28,614"
R2510,04000C1US16,Idaho -- In metropolitan statistical area -- in principal city,87,"382,100","+/-9,698"
R2510,04000C1US17,Illinois -- In metropolitan statistical area -- in principal city,87,"266,500","+/-3,229"
R2510,04000C1US18,Indiana -- In metropolitan statistical area -- in principal city,87,"164,300","+/-2,438"
R2510,04000C1US19,Iowa -- In metropolitan statistical area -- in principal city,87,"170,700","+/-2,260"
R2510,04000C1US20,Kansas -- In metropolitan statistical area -- in principal city,87,"197,800","+/-5,324"
R2510,04000C1US21,Kentucky -- In metropolitan statistical area -- in principal city,87,"210,600","+/-4,132"
R2510,04000C1US22,Louisiana -- In metropolitan statistical area -- in principal city,87,"224,400","+/-5,647"
R2510,04000C1US23,Maine -- In metropolitan statistical area -- in principal city,87,"289,000","+/-18,832"
R2510,04000C1US24,Maryland -- In metropolitan statistical area -- in principal city,87,"291,500","+/-8,700"
R2510,04000C1US25,Massachusetts -- In metropolitan statistical area -- in principal city,87,"549,000","+/-14,761"
R2510,04000C1US26,Michigan -- In metropolitan statistical area -- in principal city,87,"160,800","+/-2,637"
R2510,04000C1US27,Minnesota -- In metropolitan statistical area -- in principal city,87,"306,400","+/-5,821"
R2510,04000C1US28,Mississippi -- In metropolitan statistical area -- in principal city,87,"126,900","+/-8,752"
R2510,04000C1US29,Missouri -- In metropolitan statistical area -- in principal city,87,"191,700","+/-4,092"
R2510,04000C1US30,Montana -- In metropolitan statistical area -- in principal city,87,"289,500","+/-10,170"
R2510,04000C1US31,Nebraska -- In metropolitan statistical area -- in principal city,87,"215,300","+/-4,173"
R2510,04000C1US32,Nevada -- In metropolitan statistical area -- in principal city,87,"390,300","+/-4,432"
R2510,04000C1US33,New Hampshire -- In metropolitan statistical area -- in principal city,87,"334,000","+/-9,011"
R2510,04000C1US34,New Jersey -- In metropolitan statistical area -- in principal city,87,"309,600","+/-16,460"
R2510,04000C1US35,New Mexico -- In metropolitan statistical area -- in principal city,87,"248,600","+/-6,359"
R2510,04000C1US36,New York -- In metropolitan statistical area -- in principal city,87,"587,200","+/-5,646"
R2510,04000C1US37,North Carolina -- In metropolitan statistical area -- in principal city,87,"278,000","+/-3,491"
R2510,04000C1US38,North Dakota -- In metropolitan statistical area -- in principal city,87,"243,700","+/-7,910"
R2510,04000C1US39,Ohio -- In metropolitan statistical area -- in principal city,87,"137,500","+/-2,827"
R2510,04000C1US40,Oklahoma -- In metropolitan statistical area -- in principal city,87,"179,300","+/-3,843"
R2510,04000C1US41,Oregon -- In metropolitan statistical area -- in principal city,87,"447,300","+/-5,048"
R2510,04000C1US42,Pennsylvania -- In metropolitan statistical area -- in principal city,87,"181,700","+/-4,212"
R2510,04000C1US44,Rhode Island -- In metropolitan statistical area -- in principal city,87,"292,300","+/-8,359"
R2510,04000C1US45,South Carolina -- In metropolitan statistical area -- in principal city,87,"285,400","+/-7,539"
R2510,04000C1US46,South Dakota -- In metropolitan statistical area -- in principal city,87,"249,000","+/-8,582"
R2510,04000C1US47,Tennessee -- In metropolitan statistical area -- in principal city,87,"254,400","+/-4,841"
R2510,04000C1US48,Texas -- In metropolitan statistical area -- in principal city,87,"231,900","+/-2,007"
R2510,04000C1US49,Utah -- In metropolitan statistical area -- in principal city,87,"394,300","+/-8,371"
R2510,04000C1US50,Vermont -- In metropolitan statistical area -- in principal city,87,"373,500","+/-19,645"
R2510,04000C1US51,Virginia -- In metropolitan statistical area -- in principal city,87,"297,000","+/-4,207"
R2510,04000C1US53,Washington -- In metropolitan statistical area -- in principal city,87,"489,000","+/-5,770"
R2510,04000C1US54,West Virginia -- In metropolitan statistical area -- in principal city,87,"134,200","+/-7,063"
R2510,04000C1US55,Wisconsin -- In metropolitan statistical area -- in principal city,87,"186,200","+/-2,626"
R2510,04000C1US56,Wyoming -- In metropolitan statistical area -- in principal city,87,"258,200","+/-10,418"
R2510,04000C1US72,Puerto Rico -- In metropolitan statistical area -- in principal city,87,"128,100","+/-3,372"
R2510,04000C2US01,Alabama -- In metropolitan statistical area -- not in principal city,87,"189,400","+/-4,241"
R2510,04000C2US02,Alaska -- In metropolitan statistical area -- not in principal city,87,"284,500","+/-10,649"
R2510,04000C2US04,Arizona -- In metropolitan statistical area -- not in principal city,87,"336,700","+/-3,182"
R2510,04000C2US05,Arkansas -- In metropolitan statistical area -- not in principal city,87,"175,500","+/-4,098"
R2510,04000C2US06,California -- In metropolitan statistical area -- not in principal city,87,"617,400","+/-2,588"
R2510,04000C2US08,Colorado -- In metropolitan statistical area -- not in principal city,87,"501,300","+/-5,449"
R2510,04000C2US09,Connecticut -- In metropolitan statistical area -- not in principal city,87,"315,600","+/-3,680"
R2510,04000C2US10,Delaware -- In metropolitan statistical area -- not in principal city,87,"310,300","+/-6,236"
R2510,04000C2US12,Florida -- In metropolitan statistical area -- not in principal city,87,"297,100","+/-1,560"
R2510,04000C2US13,Georgia -- In metropolitan statistical area -- not in principal city,87,"274,000","+/-2,468"
R2510,04000C2US15,Hawaii -- In metropolitan statistical area -- not in principal city,87,"795,300","+/-14,340"
R2510,04000C2US16,Idaho -- In metropolitan statistical area -- not in principal city,87,"389,500","+/-7,465"
